title,year,rated,released,runtime,genres,director,actors,plot,languages,country,awards,imdbRating,rottenTomatoesRating,metaCriticRating,metascore,rating,type,boxoffice,production
The Hobbit: The Desolation of Smaug,2013,PG-13,Fri Dec 13 2013 00:00:00 GMT-0500 (EST),161 min,Adventure; Fantasy,Peter Jackson,Ian McKellen; Martin Freeman; Richard Armitage; Ken Stott,After successfully crossing over (and under) the Misty Mountains Thorin and Company must seek aid from a powerful stranger before taking on the dangers of Mirkwood Forest--without their Wizard If they reach the human settlement of Lake-town it will be time for the hobbit Bilbo Baggins to fulfill his contract with the dwarves The party must complete the journey to Lonely Mountain and burglar Baggins must seek out the Secret Door that will give them access to the hoard of the dragon Smaug And where has Gandalf got off to? And what is his secret business to the south?,English,USA; New Zealand,Nominated for 3 Oscars Another 16 wins & 86 nominations,7.9/10,75%,66/100,66,7.9,movie,"$180,443,783",Warner Bros.
How to Be a Man,2013,NOT RATED,Sat Mar 15 2014 00:00:00 GMT-0400 (EDT),85 min,Comedy,Chadd Harbold,Gavin McInnes; Liam Aiken; Megan Neuringer; Marisa Redanty,When former comedian Mark McCarthy is faced with a rare form of cancer he hires a young impressionable cameraman to document his crude and comical lessons on what it means to be a man for his unborn son,English,USA,N/A,6.9/10,N/A,N/A,N/A,6.9,movie,N/A,Twentieth Century Fox Home Entertainment
I'm in Love with a Church Girl,2013,PG,Fri Dec 06 2013 00:00:00 GMT-0500 (EST),118 min,Drama; Romance,Steve Race,Zahn McClarnon; Michael Madsen; Stephen Baldwin; Martin Kove,Miles Montego (Ja Rule) has it all - cars boats good looks mansion money women but more importantly he has a past Miles is a retired high level drug trafficker who is now completely legitimate Even though Miles has turned over a new leaf the DEA cant seem to let him out of their sights Miles only downfall is that he is extremely loyal to his circle of friends and former colleagues who are not retired from the lucrative business Struggling to keep on the right side of the law Miles meets the one girl of his dreams but shes not the usual type of girl that hes used to dating Vanessa (Adrienne Bailon) is a church girl in every sense of the word They are tested to their last ounce of faith and strength in God and each other God continues to chip away at Miles through struggles from his past having to live up to his reputation feelings of unworthiness the death of his mother federal charges his friends being indicted the strain on his relationship with Vanessa almost losing her in a near fatal car accident and finally the spiritual breakdown and one on one with God that brings Miles to his knees,English,USA,N/A,4.5/10,6%,23/100,23,4.5,movie,"$2,380,405",High Top Releasing
The Host,2013,PG-13,Fri Mar 29 2013 00:00:00 GMT-0400 (EDT),125 min,Action; Adventure; Romance,Andrew Niccol,Rachel Roberts; Shyaam Karra; Brent Wendell Williams; Jhil McEntyre,A race of non-corporeal parasitic aliens who go from planet to planet looking for hosts have come to Earth and basically taken over the human race Its believed that once inside a body all memories of the host human are gone Some few free humans remain hidden from them forming a resistance group When an alien Seeker captures a girl named Melanie and puts a Wanderer in her body she hopes to find out where the remaining humans are gathered but Melanie a strong fighter able to converse with the alien in her commandeered body convinces the Wanderer to say nothing Disappointed by the lack of progress (though suspecting an empathy for the human) the Seeker informs the Wanderer that shell be removed and placed in a new host while she herself will enter Melanie With human lives at risk Melanie convinces Wanderer to run away and hide out with the humans but finding them doesnt mean theyll allow an alien presence among them Jared (Melanies boyfriend) wants her dead but Jeb (Melanies uncle) wants to wait and Ian tasked with guarding her finds himself siding with Jeb As Ian begins to fall for Melanie a strange love triangle develops with Ian wanting Wanderer (inhabiting Melanies body) Jared wanting Melanie (imprisoned inside her own body) and no one knowing any way to separate the two without killing both,English,USA; Switzerland,1 win & 2 nominations,5.9/10,9%,35/100,35,5.9,movie,"$26,609,448",Open Road Films
Hours,2013,PG-13,Wed Dec 04 2013 00:00:00 GMT-0500 (EST),97 min,Drama; Thriller,Eric Heisserer,Paul Walker; Genesis Rodriguez; Nancy Nave; Shane Jacobsen,In New Orleans just before Hurricane Katrina hits a pregnant woman gives birth prematurely She dies and her baby is in critical condition The baby has to be kept in a neonatal incubator When the hurricane strikes all the power goes out and everyone in the hospital leaves But the babys father stays because the baby cant be moved so he has to take care of his baby by making sure the ventilator stays on And because theres no power the only power source is generator that he has to crank every few minutes So he has to stay awake while waiting for someone to come for them,English,USA,1 nomination,6.5/10,60%,55/100,55,6.5,movie,N/A,The Film Arcade
I Am Divine,2013,NOT RATED,Tue Apr 01 2014 00:00:00 GMT-0400 (EDT),90 min,Documentary,Jeffrey Schwarz,Divine; Michael Musto; Mark Payne; Greg Gorman,How Divine aka Harris Glenn Milstead became John Waters cinematic muse and an international drag icon,English,USA,2 wins & 3 nominations,7.6/10,96%,70/100,70,7.6,movie,"$60,003",Wolfe Releasing
InAPPropriate Comedy,2013,R,Thu Jul 17 2014 00:00:00 GMT-0400 (EDT),83 min,Comedy,Vince Offer,Rob Schneider; Noelle Kenney; Michelle Rodriguez; Adrien Brody,In this comedy film a computer tablet full of the worlds most hilariously offensive apps breaks through the borders of political correctness stirring up cultural anarchy,English,USA,2 nominations,2.9/10,0%,1/100,1,2.9,movie,"$156,414",Freestyle Releasing
Inequality for All,2013,PG,Fri Apr 24 2015 00:00:00 GMT-0400 (EDT),89 min,Documentary,Jacob Kornbluth,Dolly Parton; Lily Tomlin; Candice Bergen; Sharon Gless,A documentary that follows former US Labor Secretary Robert Reich as he looks to raise awareness of the countrys widening economic gap,English,USA,2 wins & 5 nominations,8.1/10,90%,68/100,68,8.1,movie,"$1,205,079",Radius-TWC
In a World...,2013,R,Fri Sep 13 2013 00:00:00 GMT-0400 (EDT),93 min,Comedy,Lake Bell,Lake Bell; Rob Corddry; Alexandra Holden; Eva Longoria,An underachieving vocal coach is motivated by her father the king of movie-trailer voice-overs to pursue her aspirations of becoming a voiceover star Amidst pride sexism and family dysfunction she sets out to change the voice of a generation,English,USA,3 wins & 16 nominations,6.7/10,92%,79/100,79,6.7,movie,"$2,041,184",Roadside Attractions
Indescribable,2013,N/A,Fri Feb 08 2013 00:00:00 GMT-0500 (EST),94 min,Drama; Family; History,Stacie Graber,Seth Pruski; Rich Swingle; J.C. Scott; Danielle Duncan,Blynn Lehman one of 9 children living in Pasadena CA during 1917 is facing a year full of changes His older brother announces that he has received a draft notice from the army His father informs the family that due to pay cuts and the economic struggles of the time they are all going to need to tighten their belts and do what they can to make it through their present financial struggles As Blynn watches his older siblings begin working and saving he decides to lead the younger kids in an attempt to help the family survive An overheard conversation leads Blynn to believe that composing a hit song could make big money and since his father has already begun writing a song about the love of God Blynn and his siblings try to help their father finish the song Their comical failed attempts to write a verse for the song cause Blynn to realize he doesnt understand what it means to love God When Blynn stumbles across the perfect verse to finish the song the hunt for the author begins leading them from an old asylum to a scholarly Rabbi where they learn that an ancient Jewish Rabbi living in Germany during the time of the first crusade originally composed the verse that they are now using to complete their fathers song When the family receives news that their oldest brother has died in the war Blynns struggle to understand Gods love comes to a climax Ultimately Blynn learns what it means to love God and others,English,USA,N/A,6.8/10,N/A,N/A,N/A,6.8,movie,N/A,Thorn Crown Project
I Know That Voice,2013,NOT RATED,Wed Nov 06 2013 00:00:00 GMT-0500 (EST),90 min,Documentary,Lawrence Shapiro,Charlie Adler; Pamela Adlon; Carlos Alazraqui; Jack Angel,Several voice actors discuss their art and their careers,N/A,USA,1 win,7.5/10,N/A,N/A,N/A,7.5,movie,N/A,MVD Entertainment Group
The Iceman,2012,R,Thu May 02 2013 00:00:00 GMT-0400 (EDT),106 min,Action; Biography; Crime,Ariel Vromen,Michael Shannon; Winona Ryder; Chris Evans; Ray Liotta,In the 1960s Richard Kuklinski is working as a porn film lab tech until his mob bosses persuade him to change his career into that of a contract killer For years Kuklinski gains a reputation for cold blooded professionalism even as he raises a family who are kept in the dark about his true career Unfortunately mob politics ultimately forces him to secretly work independently with the psychopathic Robert Mr Freezy Pronge As much as Kuklinski tries to keep his lives separate circumstances and his own weaknesses threaten a terrible collision as the consequences of his choices finally catch up to him,English,USA,2 wins,6.9/10,67%,60/100,60,6.9,movie,"$1,900,000",Millennium Entertainment
The Hunger Games: Catching Fire,2013,PG-13,Fri Nov 22 2013 00:00:00 GMT-0500 (EST),146 min,Action; Adventure; Mystery,Francis Lawrence,Jennifer Lawrence; Liam Hemsworth; Jack Quaid; Taylor St. Clair,Twelve months after winning the 74th Hunger Games Katniss Everdeen and her partner Peeta Mellark must go on what is known as the Victors Tour wherein they visit all the districts but before leaving Katniss is visited by President Snow who fears that Katniss defied him a year ago during the games when she chose to die with Peeta With both Katniss and Peeta declared the winners it is fueling a possible uprising He tells Katniss that while on tour she better try to make sure that she puts out the flames or else everyone she cares about will be in danger,English,USA,Nominated for 1 Golden Globe Another 22 wins & 66 nominations,7.5/10,89%,76/100,76,7.5,movie,"$336,663,349",Lionsgate Films
I Spit on Your Grave 2,2013,R,Sun Jan 19 2014 00:00:00 GMT-0500 (EST),106 min,Horror; Thriller,Steven R. Monroe,Jemma Dallender; Joe Absolom; Yavor Baharov; George Zlatarev,Katie is trying to make it in the cutthroat world of modeling When she innocently accepts an offer to have new photos taken for her portfolio the experience quickly turns into an unthinkable nightmare of rape torture and kidnapping When a twist of fate finally frees her from her captors - beaten battered bruised and broken she will have to tap into the darkest places of the human psyche to not only survive her ordeal but to ultimately find the strength to exact her brutal revenge,English; Bulgarian,USA,N/A,5.7/10,0%,N/A,N/A,5.7,movie,$441,Anchor Bay Entertainment
Identity Thief,2013,R,Fri Feb 08 2013 00:00:00 GMT-0500 (EST),111 min,Comedy; Crime,Seth Gordon,Jason Bateman; Melissa McCarthy; Jon Favreau; Amanda Peet,Sandy Patterson (Jason Bateman) gets a nice call confirming his name and other identifying information The next thing he knows a spa in Florida is reminding him of his appointment and his credit cards are maxed out With his identity stolen Sandy leaves his wife kids and job to literally bring the thief to justice in Colorado Keeping tabs on the other Sandy (Melissa McCarthy) and run-ins with bounty hunters is harder than he was expecting and ultimately the cross-country trip is going to find both Sandys learning life tips from one another,English; Spanish,USA,1 win & 9 nominations,5.7/10,19%,35/100,35,5.7,movie,"$134,455,175",Universal Pictures
The Incredible Burt Wonderstone,2013,PG-13,Fri Mar 15 2013 00:00:00 GMT-0400 (EDT),100 min,Adventure; Comedy; Fantasy,Don Scardino,Steve Carell; Steve Buscemi; Olivia Wilde; Jim Carrey,Superstar magicians Burt Wonderstone (Steve Carell) and Anton Marvelton (Steve Buscemi) have ruled the Las Vegas Strip for years raking in millions with illusions as big as Burts growing ego But lately the duos greatest deception is their public friendship while secretly theyve grown to loathe each other Facing cutthroat competition from guerrilla street magician Steve Gray (Jim Carrey) whose cult following surges with each outrageous stunt even their show is starting to look stale But theres still a chance Burt and Anton can save the act - both onstage and off - if only Burt can get back in touch with what made him love magic in the first place,English; Spanish,USA,1 win & 4 nominations,5.9/10,37%,44/100,44,5.9,movie,"$22,525,921",Warner Bros. Pictures
I Used to Be Darker,2013,NOT RATED,Wed Dec 25 2013 00:00:00 GMT-0500 (EST),89 min,Drama; Music,Matthew Porterfield,Deragh Campbell; Hannah Gross; Ned Oldham; Kim Taylor,When Taryn a Northern Irish runaway finds herself in trouble in Ocean City MD she seeks refuge with her aunt and uncle in Baltimore But Kim and Bill have problems of their own: theyre trying to handle the end of their marriage gracefully for the sake of their daughter Abby just home from her first year of college A story of family revelations people finding each other and letting each other go looking for love where theyve found it before and when that doesnt work figuring out where they might find it next,English,USA,1 win & 3 nominations,5.6/10,81%,69/100,69,5.6,movie,"$21,964",Strand Releasing
Premium Rush,2012,PG-13,Fri Aug 24 2012 00:00:00 GMT-0400 (EDT),91 min,Action; Crime; Thriller,David Koepp,Joseph Gordon-Levitt; Dania Ramirez; Sean Kennedy; Kym Perfetto,Wilee is one of 1500 bike couriers in Manhattan who rides on the edge by having a bike with no brakes On this day Wilee has a delivery that is so valuable that a corrupt NYC Detective who needs the money begins to chase Wilee throughout the city to get it before the envelope is delivered,English; Mandarin; Cantonese,USA,1 win & 4 nominations,6.5/10,74%,66/100,66,6.5,movie,"$20,275,446",Columbia Pictures
Epic,2013,PG,Fri May 24 2013 00:00:00 GMT-0400 (EDT),102 min,Animation; Adventure; Family,Chris Wedge,Blake Anderson; Aziz Ansari; Allison Bills; Jim Conroy,Young Mary Katherine (MK) returns to her eccentric scientist fathers home but his all-consuming quest to discover a tiny civilization in the neighboring forest drives them apart However MK soon finds herself shrunken down by Queen Tara of that forest who was mortally wounded by the putrefying Boggans and charged to deliver a pod bearing the new Queen to safety Together with a veteran Leafman warrior two goofy mollusks and a young maverick MK agrees to help As the villainous Boggan leader Mandrake closes in MK and her new friends must draw on the best of themselves together and discover what they have to save their world,English,USA,2 wins & 21 nominations,6.7/10,65%,52/100,52,6.7,movie,"$107,515,297",Twentieth Century Fox
Dirty Wars,2013,NOT RATED,Fri Oct 18 2013 00:00:00 GMT-0400 (EDT),87 min,Documentary; Crime; Drama,Rick Rowley,Nasser Al Aulaqi; Saleha Al Aulaqi; Muqbal Al Kazemi; Abdul Rahman Barman,Dirty Wars follows investigative reporter Jeremy Scahill author of the international bestseller Blackwater into the hidden world of Americas covert wars from Afghanistan to Yemen Somalia and beyond Part action film and part detective story Dirty Wars is a gripping journey into one of the most important and underreported stories of our time What begins as a report on a deadly US night raid in a remote corner of Afghanistan quickly turns into a global investigation of the secretive and powerful Joint Special Operations Command (JSOC) As Scahill digs deeper into the activities of JSOC he is pulled into a world of covert operations unknown to the public and carried out across the globe by men who do not exist on paper and will never appear before Congress In military jargon JSOC teams find fix and finish their targets who are selected through a secret process No target is off limits for the kill list including US citizens,English; Pushto; Somali; Dari; Arabic,USA,Nominated for 1 Oscar Another 10 wins & 6 nominations,7.5/10,84%,76/100,76,7.5,movie,"$365,604",IFC Films
Man of Steel,2013,PG-13,Fri Jun 14 2013 00:00:00 GMT-0400 (EDT),143 min,Action; Adventure; Fantasy,Zack Snyder,Henry Cavill; Amy Adams; Michael Shannon; Diane Lane,A young boy learns that he has extraordinary powers and is not of this Earth As a young man he journeys to discover where he came from and what he was sent here to do But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind,English,USA; Canada; UK,7 wins & 46 nominations,7.1/10,55%,55/100,55,7.1,movie,"$291,021,565",Warner Bros. Pictures
A Madea Christmas,2013,PG-13,Fri Dec 13 2013 00:00:00 GMT-0500 (EST),100 min,Comedy; Drama,Tyler Perry,Tyler Perry; Anna Maria Horsford; Tika Sumpter; Eric Lively,Madea gets coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas but the biggest surprise is what theyll find when they arrive As the small rural town prepares for its annual Christmas Carnival new secrets are revealed and old relationships are tested while Madea dishes her own brand of Christmas Spirit to all,English,USA,1 win & 6 nominations,4.9/10,20%,28/100,28,4.9,movie,"$52,528,330",Lionsgate
Last Call,2012,NOT RATED,Thu Apr 11 2013 00:00:00 GMT-0400 (EDT),85 min,Comedy,Greg Garthe,Travis Van Winkle; Ryan Hansen; Christopher Lloyd; Tara Reid,Danny and Phil ODonnell are chronically underachieving cousins who are forced to run the family pub in order to save their crazy Uncle Pete from jail and financial destitution The boys instigate a number of hilarious schemes from turning the pub into a strip club to a high school speakeasy just to keep it afloat,English,USA,N/A,4.5/10,N/A,N/A,N/A,4.5,movie,N/A,N/A
The Inevitable Defeat of Mister & Pete,2013,R,Fri Jan 25 2013 00:00:00 GMT-0500 (EST),108 min,Drama,George Tillman Jr.,Skylan Brooks; Ethan Dizon; Jennifer Hudson; Adewale Akinnuoye-Agbaje,A coming-of-age story about two inner city boys who are left to fend for themselves over the summer after their mothers are taken away by the authorities,English,USA,10 nominations,7.5/10,89%,61/100,61,7.5,movie,"$487,348",Lionsgate Films
Kill Your Darlings,2013,R,Thu Sep 19 2013 00:00:00 GMT-0400 (EDT),104 min,Biography; Drama; Romance,John Krokidas,Daniel Radcliffe; Dane DeHaan; Michael C. Hall; Jack Huston,In the early 1940s Allen Ginsberg is an English major at Columbia University only to learn more than he bargained for Dissatisfied by the orthodox attitudes of the school Allen finds himself drawn to iconoclastic colleagues like Lucien Carr William S Burroughs and Jack Kerouac Together this gang would explore bold new literary ideas that would challenge the sensibilities of their time as the future Beat Generation However for all their creativity their very appetites and choices lead to more serious transgressions that would mark their lives forever,English,USA,5 wins & 13 nominations,6.5/10,75%,65/100,65,6.5,movie,"$679,958",Sony Pictures Classics
Last Weekend,2014,UNRATED,Wed Jun 18 2014 00:00:00 GMT-0400 (EDT),94 min,Comedy; Drama,Tom Dolby; Tom Williams,Patricia Clarkson; Julio Oscar Mechoso; Zachary Booth; Rutina Wesley,When an affluent matriarch gathers her dysfunctional family for a holiday at their Northern California lake house her carefully constructed weekend begins to come apart at the seams leading her to question her own role in the family,English,USA,N/A,5.4/10,32%,40/100,40,5.4,movie,"$2,661",IFC Films
Justin Bieber's Believe,2013,PG,Wed Dec 25 2013 00:00:00 GMT-0500 (EST),92 min,Documentary; Music,Jon M. Chu,Justin Bieber; Scooter Braun; Ryan Good; Usher Raymond,A backstage and on-stage look at Justin Bieber during his rise to super stardom,English,USA,1 nomination,1.7/10,53%,39/100,39,1.7,movie,"$2,610,574",Freestyle Digital Media
Jack the Giant Killer,1962,G,Wed Jun 13 1962 00:00:00 GMT-0400 (EDT),94 min,Fantasy; Family; Adventure,Nathan Juran,Kerwin Mathews; Judi Meredith; Torin Thatcher; Walter Burke,The terrible and trecherous Pendragon plans to gain the throne of Cornwall by getting the king to abdicate and to marry his lovely daughter To help him he has his dreadful witches in his castle and his almost unstoppable sorcery A giant under his control abducts the princess but on the way home with her the giant meets farming lad Jack who slays him This is only the beginning Be assured Pendragon and his evil magic are far from done,English,USA,N/A,6.5/10,N/A,N/A,N/A,6.5,movie,N/A,MGM
Let the Fire Burn,2013,NOT RATED,Wed Oct 02 2013 00:00:00 GMT-0400 (EDT),88 min,Documentary,Jason Osder,Birdie Africa; Ramona Africa; Wilson Goode; William Brown III,On May 13 1985 Philadelphia police dropped two pounds of military explosives onto a city row house occupied by the radical group MOVE The resulting fire was not fought for over an hour although firefighters were on the scene with water cannons in place Five children and six adults were killed and sixty-one homes were destroyed by the six-alarm blaze one of the largest in the citys history This dramatic tragedy unfolds through an extraordinary visual record previously withheld from the public It is a graphic illustration of how prejudice intolerance and fear can lead to unthinkable acts of violence,English,USA,6 wins & 11 nominations,7.9/10,98%,86/100,86,7.9,movie,"$59,033",Zeitgeist Films
Insidious: Chapter 2,2013,PG-13,Fri Sep 13 2013 00:00:00 GMT-0400 (EDT),106 min,Horror; Mystery; Thriller,James Wan,Patrick Wilson; Rose Byrne; Ty Simpkins; Lin Shaye,Renai is interrogated by a police detective about the supernatural events in the house While the police investigate the house the Lambert family temporarily moves to the old house of Lorraine Lambert Renai is haunted by a woman in white and Josh has a strange behavior at home Meanwhile Lorraine seeks out Elises partners Specs and Tucker expecting to find answers,English,USA; Canada,16 nominations,6.6/10,39%,40/100,40,6.6,movie,"$71,401,629",FilmDistrict
Jack the Giant Slayer,2013,PG-13,Fri Mar 01 2013 00:00:00 GMT-0500 (EST),114 min,Adventure; Fantasy,Bryan Singer,Nicholas Hoult; Eleanor Tomlinson; Ewan McGregor; Stanley Tucci,Sent to the market by his uncle to sell their horse and buy thatch for their roof Jack meets the beautiful Princess Isabelle whom he rescues her from ruffians He returns home only with a handful of beans given to him by a monk who claimed they were sacred but that does little to impress his uncle who tosses them away In the night the Princess arrives having run off to keep from marrying Roderick who is clearly only interested in becoming king Soon the beans take root with a giant stalk carrying away the princess and Jacks house He soon sets off on an adventure with the kings guards to rescue the princess only to find that a mythical land filled with giants really exists,English,USA,1 win & 4 nominations,6.3/10,52%,51/100,51,6.3,movie,"$65,171,860",Warner Bros.
Jayne Mansfield's Car,2012,R,Tue Aug 20 2013 00:00:00 GMT-0400 (EDT),122 min,Drama,Billy Bob Thornton,Robert Duvall; John Hurt; Billy Bob Thornton; Kevin Bacon,A young man in the 1940s raises a family in Alabama after his wife leaves him for an Englishman and moves to England When the wife dies she leaves a request to be brought back to Alabama to be buried and at that point the man hasnt seen her in nearly 30 years The two families - her original family she abandoned and her English family - meet and make an attempt to adjust to each other with uneven results,English,USA; Russia,1 nomination,6.3/10,34%,48/100,48,6.3,movie,"$14,276",Anchor Bay Films
Lone Survivor,2013,R,Fri Jan 10 2014 00:00:00 GMT-0500 (EST),121 min,Action; Biography; Drama,Peter Berg,Mark Wahlberg; Taylor Kitsch; Emile Hirsch; Ben Foster,Marcus Luttrell a Navy Seal and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah in late June 2005 After running into mountain herders and capturing them they were left with no choice but to follow their rules of engagement or be imprisoned Now Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare,English; Pushto; Arabic,USA,Nominated for 2 Oscars Another 5 wins & 14 nominations,7.5/10,76%,60/100,60,7.5,movie,"$97,665,254",Universal Studios
Jobs,2013,PG-13,Fri Aug 16 2013 00:00:00 GMT-0400 (EDT),128 min,Biography; Drama,Joshua Michael Stern,Ashton Kutcher; Dermot Mulroney; Josh Gad; Lukas Haas,The story of Steve Jobs ascension from college dropout into one of the most revered creative entrepreneurs of the 20th century,English,USA; Switzerland,2 nominations,5.9/10,28%,44/100,44,5.9,movie,"$16,117,443",Open Road Films
Lake Windfall,2013,N/A,Sat Nov 16 2013 00:00:00 GMT-0500 (EST),105 min,Comedy; Drama; Thriller,Roger Vass,Christopher B. Corrigan; Alex Laferriere; Jasun Hicks; Will Sanders,The film is a portrait of interactions between deaf hard of hearing and hearing people The plot focuses on five characters in a post-­apocalyptic setting Told with humor and emotion this film takes an authentic look at three different types of hearing loss experiences While navigating through this tale of awareness and survival both hearing and deaf will realize how critical effective communication is to our collective survival The cast and crew consisted of mainly deaf and hard of hearing members from all over the country This production expressed primarily using American Sign Language illustrates the great skill creativity and passion for filmmaking shared by these talented artists Unlike many film productions all proceeds made from this film will be devoted to programs and services that enhance the lives of deaf and hard of hearing people and promote greater inclusion and cooperation with the mainstreamed population-those who can hear,English; American Sign Language,USA,1 win,8.1/10,N/A,N/A,N/A,8.1,movie,N/A,N/A
Magic Magic,2013,R,Wed Aug 28 2013 00:00:00 GMT-0400 (EDT),97 min,Drama; Thriller,Sebastián Silva,Michael Cera; Juno Temple; Emily Browning; Catalina Sandino Moreno,Alicia arrives in South America to vacation with her cousin Sara When Sarah is suddenly called away Alicia is stuck on a remote island off Chile with three of Saras friends including Brink an American exchange student with a sadistic streak Bewildered frightened and unable to sleep Alicias reality becomes a nightmare from which there is no waking Ancient indigenous rites disturbing animal behavior and captivating hypnotic trances come together in an intense exploration into the darkest corners    when the games go too far reality unravels with astonishing and deadly consequences,English; Spanish,Chile; USA,2 wins & 3 nominations,5.0/10,68%,59/100,59,5,movie,N/A,Sony Pictures
Lovelace,2013,R,Thu Aug 08 2013 00:00:00 GMT-0400 (EDT),93 min,Biography; Drama,Rob Epstein; Jeffrey Friedman,Amanda Seyfried; Peter Sarsgaard; Sharon Stone; Robert Patrick,The story of Linda Lovelace who is used and abused by the porn industry at the behest of her coercive husband before taking control of her life,English,USA,1 win & 3 nominations,6.2/10,52%,51/100,51,6.2,movie,"$300,000",Radius-TWC
Manhattan Romance,2015,TV-14,Fri Oct 02 2015 00:00:00 GMT-0400 (EDT),94 min,Comedy; Drama; Romance,Tom O'Brien,Arnold C. Baker II; Jessie Barr; Tommy Burke; Louis Cancelmi,Danny a commercial editor and documentary filmmaker attempts to finish his film a study on relationship while navigating the relationships in his own life Will he continue to chase the unattainable Theresa a hippy new age dancer(Caitlin Fitzgerald) or will he finally admit hes in love with his best friend Carla (Katherine Waterston) who is in an unfulfilling relationship with a political strategist(Gaby Hoffman) Manhattan Romance is a funny insightful look at contemporary life in Manhattan It explores new age ideas and open relationship as well as true friendship and connection,English,USA,2 wins,5.4/10,N/A,N/A,N/A,5.4,movie,N/A,Beacon Films Inc.
Killing Season,2013,R,Thu Jul 25 2013 00:00:00 GMT-0400 (EDT),91 min,Action; Drama; Thriller,Mark Steven Johnson,Robert De Niro; John Travolta; Milo Ventimiglia; Elizabeth Olin,Killing Season tells the story of two veterans of the Bosnian War one American one Serbian who clash in the Appalachian Mountain wilderness FORD is a former American soldier who fought on the front lines in Bosnia When our story begins he has retreated to a remote cabin in the woods trying to escape painful memories of war The drama begins when KOVAC a former Serbian soldier seeks Ford out hoping to settle an old score What follows is a cat-and-mouse game in which Ford and Kovac fight their own personal World War III with battles both physical and psychological By the end of the film old wounds are opened suppressed memories are drawn to the surface and long-hidden secrets about both Ford and Kovac are revealed,English; Serbian,USA; Belgium; Bulgaria,N/A,5.4/10,11%,25/100,25,5.4,movie,"$27,713",Milennium Entertainment
Knife Fight,2012,R,Mon Jan 28 2013 00:00:00 GMT-0500 (EST),100 min,Drama,Bill Guttentag,Rob Lowe; Julie Bowen; Saffron Burrows; Jamie Chung,If a political candidate is personally flawed but stands to make a positive difference in millions of lives would you help him win? That question looms over the life of true believer Paul Turner (Rob Lowe) a savvy strategist sharply maneuvering politicians out of scandal and into public office With the help of a bright young assistant (Jamie Chung) and a seedy operative (Richard Schiff) Turner spins every news cycle and a shrewd reporter (Julie Bowen) on behalf of his clients: a philandering Kentucky governor (Eric McCormick) a blackmailed California senator (David Harbour) and an idealistic doctor turned gubernatorial candidate (Carrie-Anne Moss) When the ugly side of Turners work begins to haunt him he learns that even in the bloodiest of battles sometimes you have to fight clean,English,USA,N/A,5.1/10,28%,34/100,34,5.1,movie,N/A,IFC Films
The Lifeguard,2013,R,Tue Jul 30 2013 00:00:00 GMT-0400 (EDT),98 min,Drama; Romance,Liz W. Garcia,Kristen Bell; Mamie Gummer; Martin Starr; Alex Shaffer,29-year-old Leigh is on leave from her job in New York City after feeling a sense of emptiness and sadness in her life Leigh has returned to her parents home to her high school job as a lifeguard and to her high school friends still in town But Leigh continues to struggle in finding happiness since her parents dont approve and shes bullied by local kids at the pool Leigh finds an almost like kindred spirit in high school student Little Jason but when their friendship turns into an illicit relationship her friends dont approve and even more tragedy awaits Leigh in her personal journey towards happiness,English,USA,2 nominations,5.7/10,13%,34/100,34,5.7,movie,N/A,Screen Media Films
Inside Llewyn Davis,2013,R,Fri Jan 10 2014 00:00:00 GMT-0500 (EST),104 min,Drama; Music,Ethan Coen; Joel Coen,Oscar Isaac; Carey Mulligan; Justin Timberlake; Ethan Phillips,Follow a week in the life of a young folk singer as he navigates the Greenwich Village folk scene of 1961 Guitar in tow huddled against the unforgiving New York winter he is struggling to make it as a musician against seemingly insurmountable obstacles -- some of them of his own making,English,USA; UK; France,Nominated for 2 Oscars Another 47 wins & 168 nominations,7.5/10,93%,93/100,93,7.5,movie,"$9,666,762",CBS Films
Kevin Hart: Let Me Explain,2013,R,Wed Jul 03 2013 00:00:00 GMT-0400 (EDT),75 min,Documentary; Comedy,Leslie Small; Tim Story,Kevin Hart; Harry Ratchford; Will 'Spank' Horton; Joey Wells,Filmed at a sold-out performance at Madison Square Garden comedian Kevin Hart delivers material from his 2012 Let Me Explain concert tour,English,USA,1 win & 1 nomination,6.8/10,61%,53/100,53,6.8,movie,"$32,200,000",Summit Entertainment
Life of Crime,2013,R,Fri Aug 29 2014 00:00:00 GMT-0400 (EDT),98 min,Comedy; Crime,Daniel Schechter,Jennifer Aniston; Yasiin Bey; Isla Fisher; Will Forte,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return,English,USA,N/A,5.8/10,65%,60/100,60,5.8,movie,"$261,695",Roadside Atrractions
Home Run,2013,PG-13,Fri Apr 19 2013 00:00:00 GMT-0400 (EDT),113 min,Drama; Sport,David Boyd,Scott Elrod; Dorian Brown Pham; Charles Henry Wyson; James Devoti,Forced back to his small home town an alcoholic baseball hotshot fakes recovery to regain his position on the roster coaches a little league team to regain his popularity pursues his old flame to regain a romance all while finding redemption among a group of addicts,English,USA,N/A,6.0/10,45%,N/A,N/A,6,movie,"$2,859,955",Samuel Goldwyn Films
